tag,n,f1_mean,unknown_rate,f1_lo,f1_hi,em_mean,hf_f1
top1_instruction,200.000,0.443,0.155,0.378,0.508,0.370,0.444
top1_cot,200.000,0.489,0.020,0.424,0.554,0.415,0.490
top1_persona,200.000,0.497,0.055,0.432,0.563,0.425,0.498
top_3_emb_256_instruction,200.000,0.443,0.155,0.378,0.508,0.370,0.444
top_3_emb_256_cot,200.000,0.489,0.020,0.424,0.554,0.415,0.490
top_3_emb_256_persona,200.000,0.497,0.055,0.432,0.563,0.425,0.498
top_5_emb_256_instruction,200.000,0.443,0.155,0.378,0.508,0.370,0.444
top_5_emb_256_cot,200.000,0.489,0.020,0.424,0.554,0.415,0.490
top_5_emb_256_persona,200.000,0.497,0.055,0.432,0.563,0.425,0.498
top_10_emb_256_instruction,200.000,0.443,0.155,0.378,0.508,0.370,0.444
top_10_emb_256_cot,200.000,0.489,0.020,0.424,0.554,0.415,0.490
top_10_emb_256_persona,200.000,0.497,0.055,0.432,0.563,0.425,0.498
top_3_emb_384_instruction,200.000,0.443,0.155,0.378,0.508,0.370,0.444
top_3_emb_384_cot,200.000,0.489,0.020,0.424,0.554,0.415,0.490
top_3_emb_384_persona,200.000,0.497,0.055,0.432,0.563,0.425,0.498
top_5_emb_384_instruction,200.000,0.443,0.155,0.378,0.508,0.370,0.444
top_5_emb_384_cot,200.000,0.489,0.020,0.424,0.554,0.415,0.490
top_5_emb_384_persona,200.000,0.497,0.055,0.432,0.563,0.425,0.498
top_10_emb_384_instruction,200.000,0.443,0.155,0.378,0.508,0.370,0.444
top_10_emb_384_cot,200.000,0.489,0.020,0.424,0.554,0.415,0.490
top_10_emb_384_persona,200.000,0.497,0.055,0.432,0.563,0.425,0.498
top_3_emb_512_instruction,200.000,0.443,0.155,0.378,0.508,0.370,0.444
top_3_emb_512_cot,200.000,0.489,0.020,0.424,0.554,0.415,0.490
top_3_emb_512_persona,200.000,0.497,0.055,0.432,0.563,0.425,0.498
top_5_emb_512_instruction,200.000,0.443,0.155,0.378,0.508,0.370,0.444
top_5_emb_512_cot,200.000,0.489,0.020,0.424,0.554,0.415,0.490
top_5_emb_512_persona,200.000,0.497,0.055,0.432,0.563,0.425,0.498
top_10_emb_512_instruction,200.000,0.443,0.155,0.378,0.508,0.370,0.444
top_10_emb_512_cot,200.000,0.489,0.020,0.424,0.554,0.415,0.490
top_10_emb_512_persona,200.000,0.497,0.055,0.432,0.563,0.425,0.498
enhanced_top5_persona_rerank,200.000,0.090,0.545,0.054,0.127,0.065,0.091